region	size	composition	count
Dolnośląskie	1	one_person	66488
Dolnośląskie	1	couple_with_dependent_children	161900
Dolnośląskie	1	other_multi_person	38654
Dolnośląskie	2	one_person	73691
Dolnośląskie	2	couple_with_dependent_children	179488
Dolnośląskie	2	other_multi_person	42853
Dolnośląskie	3	one_person	52752
Dolnośląskie	3	couple_with_dependent_children	128489
Dolnośląskie	3	other_multi_person	30676
Dolnośląskie	4	one_person	40341
Dolnośląskie	4	couple_with_dependent_children	98257
Dolnośląskie	4	other_multi_person	23459
Dolnośląskie	5	one_person	33770
Dolnośląskie	5	couple_with_dependent_children	82251
Dolnośląskie	5	other_multi_person	19637
Kujawsko-pomorskie	1	one_person	30698
Kujawsko-pomorskie	1	couple_with_dependent_children	91711
Kujawsko-pomorskie	1	other_multi_person	23198
Kujawsko-pomorskie	2	one_person	37174
Kujawsko-pomorskie	2	couple_with_dependent_children	111130
Kujawsko-pomorskie	2	other_multi_person	28111
Kujawsko-pomorskie	3	one_person	28857
Kujawsko-pomorskie	3	couple_with_dependent_children	86267
Kujawsko-pomorskie	3	other_multi_person	21820
Kujawsko-pomorskie	4	one_person	23783
Kujawsko-pomorskie	4	couple_with_dependent_children	71098
Kujawsko-pomorskie	4	other_multi_person	17985
Kujawsko-pomorskie	5	one_person	25093
Kujawsko-pomorskie	5	couple_with_dependent_children	75015
Kujawsko-pomorskie	5	other_multi_person	18975
Lubelskie	1	one_person	29290
Lubelskie	1	couple_with_dependent_children	87921
Lubelskie	1	other_multi_person	23304
Lubelskie	2	one_person	33128
Lubelskie	2	couple_with_dependent_children	99498
Lubelskie	2	other_multi_person	26373
Lubelskie	3	one_person	26125
Lubelskie	3	couple_with_dependent_children	78465
Lubelskie	3	other_multi_person	20798
Lubelskie	4	one_person	23580
Lubelskie	4	couple_with_dependent_children	70820
Lubelskie	4	other_multi_person	18772
Lubelskie	5	one_person	28393
Lubelskie	5	couple_with_dependent_children	85277
Lubelskie	5	other_multi_person	22604
Lubuskie	1	one_person	16478
Lubuskie	1	couple_with_dependent_children	47899
Lubuskie	1	other_multi_person	11015
Lubuskie	2	one_person	19635
Lubuskie	2	couple_with_dependent_children	57131
Lubuskie	2	other_multi_person	13137
Lubuskie	3	one_person	15139
Lubuskie	3	couple_with_dependent_children	44048
Lubuskie	3	other_multi_person	10129
Lubuskie	4	one_person	12612
Lubuskie	4	couple_with_dependent_children	36696
Lubuskie	4	other_multi_person	8439
Lubuskie	5	one_person	11529
Lubuskie	5	couple_with_dependent_children	33545
Lubuskie	5	other_multi_person	7715
Mazowieckie	1	one_person	135642
Mazowieckie	1	couple_with_dependent_children	311466
Mazowieckie	1	other_multi_person	77195
Mazowieckie	2	one_person	134298
Mazowieckie	2	couple_with_dependent_children	308424
Mazowieckie	2	other_multi_person	76441
Mazowieckie	3	one_person	95258
Mazowieckie	3	couple_with_dependent_children	218766
Mazowieckie	3	other_multi_person	54220
Mazowieckie	4	one_person	82835
Mazowieckie	4	couple_with_dependent_children	190237
Mazowieckie	4	other_multi_person	47150
Mazowieckie	5	one_person	76269
Mazowieckie	5	couple_with_dependent_children	175155
Mazowieckie	5	other_multi_person	43411
Małopolskie	1	one_person	46937
Małopolskie	1	couple_with_dependent_children	137055
Małopolskie	1	other_multi_person	45004
Małopolskie	2	one_person	49707
Małopolskie	2	couple_with_dependent_children	145191
Małopolskie	2	other_multi_person	47675
Małopolskie	3	one_person	40640
Małopolskie	3	couple_with_dependent_children	118705
Małopolskie	3	other_multi_person	38978
Małopolskie	4	one_person	39336
Małopolskie	4	couple_with_dependent_children	114897
Małopolskie	4	other_multi_person	37728
Małopolskie	5	one_person	52376
Małopolskie	5	couple_with_dependent_children	152986
Małopolskie	5	other_multi_person	50235
Opolskie	1	one_person	14747
Opolskie	1	couple_with_dependent_children	42805
Opolskie	1	other_multi_person	11209
Opolskie	2	one_person	16977
Opolskie	2	couple_with_dependent_children	49344
