region	status	count
Warmińsko-mazurskie	employed	1264605
Kujawsko-pomorskie	employed	1851134
Kujawsko-pomorskie	inactive	1329588
Warmińsko-mazurskie	inactive	908311
Kujawsko-pomorskie	unemployed	59136
Warmińsko-mazurskie	unemployed	40399
Dolnośląskie	employed	2677799
Dolnośląskie	inactive	1923346
Dolnośląskie	unemployed	85544
Lubelskie	employed	1863692
Lubelskie	inactive	1338609
Lubelskie	unemployed	59537
Lubuskie	employed	908426
Lubuskie	inactive	652483
Lubuskie	unemployed	29020
Łódzkie	employed	2186755
Łódzkie	inactive	1570651
Łódzkie	unemployed	69857
Małopolskie	employed	3119432
Małopolskie	inactive	2240552
Małopolskie	unemployed	99652
Mazowieckie	employed	5036116
Mazowieckie	inactive	3617222
Mazowieckie	unemployed	160882
Opolskie	employed	872283
Opolskie	inactive	626523
Opolskie	unemployed	27866
Podkarpackie	employed	1912665
Podkarpackie	inactive	1373784
Podkarpackie	unemployed	61101
Podlaskie	employed	1055034
Podlaskie	inactive	757785
Podlaskie	unemployed	33704
Pomorskie	employed	2166087
Pomorskie	inactive	1555805
Pomorskie	unemployed	69197
Śląskie	employed	3945929
Śląskie	inactive	2834189
Śląskie	unemployed	126055
Świętokrzyskie	employed	1087849
Świętokrzyskie	inactive	781354
Świętokrzyskie	unemployed	34752
Wielkopolskie	employed	3209520
Wielkopolskie	inactive	2305258
Wielkopolskie	unemployed	102530
Zachodniopomorskie	employed	1526673
Zachodniopomorskie	inactive	1096542
Zachodniopomorskie	unemployed	48770
