registered_seat_region	pkd2007_section	expected_workers_band	count
02	A	0-9	3611
02	A	10-49	157
02	A	50-249	44
02	A	250=>	2
02	B	0-9	272
02	B	10-49	44
02	B	50-249	22
02	B	250=>	3
02	C	0-9	22209
02	C	10-49	1268
02	C	50-249	357
02	C	250=>	115
02	D	0-9	1124
02	D	10-49	20
02	D	50-249	10
02	D	250=>	4
02	E	0-9	817
02	E	10-49	117
02	E	50-249	57
02	E	250=>	6
02	F	0-9	47925
02	F	10-49	924
02	F	50-249	80
02	F	250=>	10
02	G	0-9	62058
02	G	10-49	1291
02	G	50-249	146
02	G	250=>	23
02	H	0-9	17109
02	H	10-49	344
02	H	50-249	46
02	H	250=>	7
02	I	0-9	11680
02	I	10-49	373
02	I	50-249	25
02	I	250=>	7
02	J	0-9	28356
02	J	10-49	134
02	J	50-249	28
02	J	250=>	5
02	K	0-9	9709
02	K	10-49	67
02	K	50-249	24
02	K	250=>	5
02	L	0-9	48028
02	L	10-49	298
02	L	50-249	64
02	L	250=>	5
02	M	0-9	42316
02	M	10-49	397
02	M	50-249	47
02	M	250=>	11
02	N	0-9	14571
02	N	10-49	247
02	N	50-249	66
02	N	250=>	26
02	O	0-9	1084
02	O	10-49	212
02	O	50-249	168
02	O	250=>	27
02	P	0-9	11649
02	P	10-49	1569
02	P	50-249	485
02	P	250=>	11
02	Q	0-9	24402
02	Q	10-49	522
02	Q	50-249	106
02	Q	250=>	47
02	R	0-9	6674
02	R	10-49	246
02	R	50-249	44
02	R	250=>	4
02	S	0-9	28396
02	S	10-49	199
02	S	50-249	36
02	S	250=>	6
02	U	0-9	14
02	U	10-49	1
02	U	50-249	0
02	U	250=>	0
04	A	0-9	3566
04	A	10-49	125
04	A	50-249	28
04	A	250=>	2
04	B	0-9	137
04	B	10-49	7
04	B	50-249	0
04	B	250=>	1
04	C	0-9	14359
04	C	10-49	1006
04	C	50-249	299
04	C	250=>	69
04	D	0-9	1148
04	D	10-49	20
04	D	50-249	8
04	D	250=>	4
04	E	0-9	576
04	E	10-49	102
04	E	50-249	28
04	E	250=>	3
04	F	0-9	25647
04	F	10-49	528
04	F	50-249	69
04	F	250=>	4
04	G	0-9	35488
04	G	10-49	924
04	G	50-249	114
04	G	250=>	16
04	H	0-9	10866
04	H	10-49	168
04	H	50-249	26
04	H	250=>	6
04	I	0-9	4522
04	I	10-49	193
04	I	50-249	11
04	I	250=>	0
04	J	0-9	7130
04	J	10-49	67
04	J	50-249	7
04	J	250=>	0
04	K	0-9	5327
04	K	10-49	70
04	K	50-249	23
04	K	250=>	4
04	L	0-9	12206
04	L	10-49	173
04	L	50-249	35
04	L	250=>	4
04	M	0-9	17780
04	M	10-49	172
04	M	50-249	25
04	M	250=>	3
04	N	0-9	7146
04	N	10-49	146
04	N	50-249	31
04	N	250=>	10
04	O	0-9	1071
04	O	10-49	209
04	O	50-249	135
04	O	250=>	30
04	P	0-9	5886
04	P	10-49	1152
04	P	50-249	337
04	P	250=>	7
04	Q	0-9	15677
04	Q	10-49	343
04	Q	50-249	80
04	Q	250=>	29
04	R	0-9	4066
04	R	10-49	151
04	R	50-249	25
04	R	250=>	1
04	S	0-9	17134
04	S	10-49	385
04	S	50-249	34
04	S	250=>	5
04	U	0-9	10
04	U	10-49	0
04	U	50-249	0
04	U	250=>	0
06	A	0-9	2991
06	A	10-49	69
06	A	50-249	21
06	A	250=>	1
06	B	0-9	201
06	B	10-49	11
06	B	50-249	2
06	B	250=>	1
06	C	0-9	12044
06	C	10-49	567
06	C	50-249	154
06	C	250=>	31
06	D	0-9	496
06	D	10-49	13
06	D	50-249	10
06	D	250=>	4
06	E	0-9	412
06	E	10-49	79
06	E	50-249	23
06	E	250=>	3
06	F	0-9	25317
06	F	10-49	369
06	F	50-249	48
06	F	250=>	6
06	G	0-9	35314
06	G	10-49	691
06	G	50-249	82
06	G	250=>	4
06	H	0-9	11229
06	H	10-49	163
06	H	50-249	30
06	H	250=>	2
06	I	0-9	4378
06	I	10-49	134
06	I	50-249	11
06	I	250=>	0
06	J	0-9	8345
06	J	10-49	39
06	J	50-249	4
06	J	250=>	1
06	K	0-9	4740
06	K	10-49	42
06	K	50-249	21
06	K	250=>	1
06	L	0-9	7045
06	L	10-49	115
06	L	50-249	34
06	L	250=>	0
06	M	0-9	16852
06	M	10-49	131
06	M	50-249	11
06	M	250=>	6
06	N	0-9	5939
06	N	10-49	73
06	N	50-249	14
06	N	250=>	0
06	O	0-9	2035
06	O	10-49	237
06	O	50-249	137
06	O	250=>	14
06	P	0-9	5728
06	P	10-49	1285
06	P	50-249	323
06	P	250=>	9
06	Q	0-9	14148
06	Q	10-49	396
06	Q	50-249	65
06	Q	250=>	33
06	R	0-9	3393
06	R	10-49	112
06	R	50-249	29
