source_residual_category	registered_seat_region	pkd2007_section	expected_workers_band	count
missing_pkd_only			0-9	29490
missing_pkd_only			10-49	188
missing_pkd_only			50-249	15
missing_pkd_only			250=>	1
missing_registered_seat_and_pkd			0-9	5
missing_registered_seat_and_pkd			10-49	0
missing_registered_seat_and_pkd			50-249	0
missing_registered_seat_and_pkd			250=>	0
missing_registered_seat_only			0-9	1220
missing_registered_seat_only			10-49	51
missing_registered_seat_only			50-249	5
missing_registered_seat_only			250=>	1
