sex	age_band	status	persons	source_unit
male	15-17	employed	20000	thousands
male	15-17	inactive	597000	thousands
male	18-19	employed	53000	thousands
male	18-19	unemployed	16000	thousands
male	18-19	inactive	301000	thousands
male	20-24	employed	508000	thousands
male	20-24	unemployed	52000	thousands
male	20-24	inactive	296000	thousands
male	25-29	employed	837000	thousands
male	25-29	unemployed	41000	thousands
male	25-29	inactive	88000	thousands
male	30-34	employed	1096000	thousands
male	30-34	unemployed	24000	thousands
male	30-34	inactive	42000	thousands
male	35-39	employed	1266000	thousands
male	35-39	unemployed	20000	thousands
male	35-39	inactive	53000	thousands
male	40-44	employed	1400000	thousands
male	40-44	unemployed	32000	thousands
male	40-44	inactive	78000	thousands
male	45-49	employed	1299000	thousands
male	45-49	unemployed	24000	thousands
male	45-49	inactive	109000	thousands
male	50-54	employed	1067000	thousands
male	50-54	unemployed	28000	thousands
male	50-54	inactive	148000	thousands
male	55-59	employed	812000	thousands
male	55-59	unemployed	18000	thousands
male	55-59	inactive	197000	thousands
male	60-64	employed	642000	thousands
male	60-64	unemployed	26000	thousands
male	60-64	inactive	336000	thousands
male	65-89-source	employed	309000	thousands
male	65-89-source	inactive	2733000	thousands
female	15-17	inactive	577000	thousands
female	18-19	employed	32000	thousands
female	18-19	unemployed	14000	thousands
female	18-19	inactive	307000	thousands
female	20-24	employed	386000	thousands
female	20-24	unemployed	45000	thousands
female	20-24	inactive	390000	thousands
female	25-29	employed	755000	thousands
female	25-29	unemployed	28000	thousands
female	25-29	inactive	142000	thousands
female	30-34	employed	897000	thousands
female	30-34	unemployed	36000	thousands
female	30-34	inactive	182000	thousands
female	35-39	employed	1084000	thousands
female	35-39	unemployed	34000	thousands
female	35-39	inactive	174000	thousands
female	40-44	employed	1254000	thousands
female	40-44	unemployed	38000	thousands
female	40-44	inactive	177000	thousands
female	45-49	employed	1227000	thousands
female	45-49	unemployed	36000	thousands
female	45-49	inactive	160000	thousands
female	50-54	employed	1044000	thousands
female	50-54	unemployed	32000	thousands
female	50-54	inactive	183000	thousands
female	55-59	employed	807000	thousands
female	55-59	unemployed	13000	thousands
female	55-59	inactive	257000	thousands
female	60-64	employed	323000	thousands
female	60-64	inactive	792000	thousands
female	65-89-source	employed	220000	thousands
female	65-89-source	inactive	4137000	thousands
female	15-17	employed	10000	thousands
female	15-17	inactive	642000	thousands
female	18-19	employed	48000	thousands
female	18-19	unemployed	12000	thousands
female	18-19	inactive	329000	thousands
female	20-24	employed	464000	thousands
female	20-24	unemployed	50000	thousands
female	20-24	inactive	365000	thousands
female	25-29	employed	925000	thousands
female	25-29	unemployed	36000	thousands
female	25-29	inactive	127000	thousands
female	30-34	employed	1251000	thousands
female	30-34	unemployed	39000	thousands
female	30-34	inactive	111000	thousands
female	35-39	employed	1452000	thousands
female	35-39	unemployed	36000	thousands
female	35-39	inactive	119000	thousands
female	40-44	employed	1640000	thousands
female	40-44	unemployed	44000	thousands
female	40-44	inactive	125000	thousands
female	45-49	employed	1539000	thousands
female	45-49	unemployed	36000	thousands
female	45-49	inactive	146000	thousands
female	50-54	employed	1256000	thousands
female	50-54	unemployed	35000	thousands
female	50-54	inactive	176000	thousands
female	55-59	employed	956000	thousands
female	55-59	unemployed	17000	thousands
female	55-59	inactive	232000	thousands
female	60-64	employed	574000	thousands
female	60-64	unemployed	20000	thousands
female	60-64	inactive	643000	thousands
female	65-89-source	employed	367000	thousands
female	65-89-source	inactive	4440000	thousands
female	15-17	employed	17000	thousands
female	15-17	inactive	532000	thousands
female	18-19	employed	37000	thousands
female	18-19	unemployed	18000	thousands
female	18-19	inactive	279000	thousands
female	20-24	employed	430000	thousands
female	20-24	unemployed	47000	thousands
female	20-24	inactive	322000	thousands
female	25-29	employed	667000	thousands
female	25-29	unemployed	33000	thousands
female	25-29	inactive	104000	thousands
female	30-34	employed	741000	thousands
female	30-34	unemployed	21000	thousands
female	30-34	inactive	113000	thousands
female	35-39	employed	898000	thousands
female	35-39	unemployed	18000	thousands
female	35-39	inactive	108000	thousands
female	40-44	employed	1014000	thousands
female	40-44	unemployed	26000	thousands
female	40-44	inactive	130000	thousands
female	45-49	employed	988000	thousands
female	45-49	unemployed	24000	thousands
female	45-49	inactive	123000	thousands
female	50-54	employed	855000	thousands
female	50-54	unemployed	25000	thousands
female	50-54	inactive	155000	thousands
female	55-59	employed	664000	thousands
female	55-59	unemployed	14000	thousands
female	55-59	inactive	221000	thousands
female	60-64	employed	391000	thousands
female	60-64	inactive	485000	thousands
female	65-89-source	employed	162000	thousands
female	65-89-source	inactive	2429000	thousands
