sex	age_band	status	count
female	15-17	employed	27000
female	15-17	inactive	1751000
female	18-19	employed	117000
female	18-19	inactive	915000
female	18-19	unemployed	44000
female	20-24	employed	1280000
female	20-24	inactive	1077000
female	20-24	unemployed	142000
female	25-29	employed	2347000
female	25-29	inactive	373000
female	25-29	unemployed	97000
female	30-34	employed	2889000
female	30-34	inactive	406000
female	30-34	unemployed	96000
female	35-39	employed	3434000
female	35-39	inactive	401000
female	35-39	unemployed	88000
female	40-44	employed	3908000
female	40-44	inactive	432000
female	40-44	unemployed	108000
female	45-49	employed	3754000
female	45-49	inactive	429000
female	45-49	unemployed	96000
female	50-54	employed	3155000
female	50-54	inactive	514000
female	50-54	unemployed	92000
female	55-59	employed	2427000
female	55-59	inactive	710000
female	55-59	unemployed	44000
female	60-64	employed	1288000
female	60-64	inactive	1920000
female	60-64	unemployed	20000
female	65-74	employed	438788
female	65-74	inactive	6447648
female	75-89	employed	310212
female	75-89	inactive	4558352
male	15-17	employed	20000
male	15-17	inactive	597000
male	18-19	employed	53000
male	18-19	inactive	301000
male	18-19	unemployed	16000
male	20-24	employed	508000
male	20-24	inactive	296000
male	20-24	unemployed	52000
male	25-29	employed	837000
male	25-29	inactive	88000
male	25-29	unemployed	41000
male	30-34	employed	1096000
male	30-34	inactive	42000
male	30-34	unemployed	24000
male	35-39	employed	1266000
male	35-39	inactive	53000
male	35-39	unemployed	20000
male	40-44	employed	1400000
male	40-44	inactive	78000
male	40-44	unemployed	32000
male	45-49	employed	1299000
male	45-49	inactive	109000
male	45-49	unemployed	24000
male	50-54	employed	1067000
male	50-54	inactive	148000
male	50-54	unemployed	28000
male	55-59	employed	812000
male	55-59	inactive	197000
male	55-59	unemployed	18000
male	60-64	employed	642000
male	60-64	inactive	336000
male	60-64	unemployed	26000
male	65-74	employed	203287
male	65-74	inactive	1798002
male	75-89	employed	105713
male	75-89	inactive	934998
