region	children_count	count
Dolnośląskie	0	227814
Dolnośląskie	1	341835
Dolnośląskie	2	194992
Dolnośląskie	3	37515
Dolnośląskie	4 i więcej	9442
Kujawsko-pomorskie	0	158126
Kujawsko-pomorskie	1	230013
Kujawsko-pomorskie	2	142491
Kujawsko-pomorskie	3	32275
Kujawsko-pomorskie	4 i więcej	9794
Lubelskie	0	146878
Lubelskie	1	225544
Lubelskie	2	151976
Lubelskie	3	41650
Lubelskie	4 i więcej	12901
Lubuskie	0	73507
Lubuskie	1	115661
Lubuskie	2	71973
Lubuskie	3	15199
Lubuskie	4 i więcej	4174
Mazowieckie	0	397999
Mazowieckie	1	587988
Mazowieckie	2	397958
Mazowieckie	3	90892
Mazowieckie	4 i więcej	23383
Małopolskie	0	221361
Małopolskie	1	353112
Małopolskie	2	260622
Małopolskie	3	75607
Małopolskie	4 i więcej	24317
Opolskie	0	70061
Opolskie	1	107130
Opolskie	2	68683
Opolskie	3	16062
Opolskie	4 i więcej	4278
Podkarpackie	0	128911
Podkarpackie	1	218407
Podkarpackie	2	167106
Podkarpackie	3	51758
Podkarpackie	4 i więcej	16566
Podlaskie	0	78002
Podlaskie	1	123366
Podlaskie	2	86872
Podlaskie	3	24396
Podlaskie	4 i więcej	7524
Pomorskie	0	173866
Pomorskie	1	250104
Pomorskie	2	166716
Pomorskie	3	42811
Pomorskie	4 i więcej	13235
Warmińsko-mazurskie	0	98613
Warmińsko-mazurskie	1	155692
Warmińsko-mazurskie	2	98985
Warmińsko-mazurskie	3	24798
Warmińsko-mazurskie	4 i więcej	8143
Wielkopolskie	0	266038
Wielkopolskie	1	381617
Wielkopolskie	2	265486
Wielkopolskie	3	59382
Wielkopolskie	4 i więcej	14956
Zachodniopomorskie	0	128934
Zachodniopomorskie	1	197108
Zachodniopomorskie	2	112549
Zachodniopomorskie	3	22802
Zachodniopomorskie	4 i więcej	6699
Łódzkie	0	192754
Łódzkie	1	282675
Łódzkie	2	167036
Łódzkie	3	32895
Łódzkie	4 i więcej	7507
Śląskie	0	371203
Śląskie	1	510693
Śląskie	2	302366
Śląskie	3	59745
Śląskie	4 i więcej	14487
Świętokrzyskie	0	88437
Świętokrzyskie	1	138517
Świętokrzyskie	2	90024
Świętokrzyskie	3	20096
Świętokrzyskie	4 i więcej	5445
