region	family_type	count
Dolnośląskie	małżeństwa bez dzieci	192862
Dolnośląskie	małżeństwa z dziećmi	316107
Dolnośląskie	samotne matki z dziećmi	182778
Dolnośląskie	samotni ojcowie z dziećmi	31727
Dolnośląskie	związki niesformalizowane bez dzieci	34952
Dolnośląskie	związki niesformalizowane z dziećmi	53172
Kujawsko-pomorskie	małżeństwa bez dzieci	139809
Kujawsko-pomorskie	małżeństwa z dziećmi	244440
Kujawsko-pomorskie	samotne matki z dziećmi	117387
Kujawsko-pomorskie	samotni ojcowie z dziećmi	19439
Kujawsko-pomorskie	związki niesformalizowane bez dzieci	18317
Kujawsko-pomorskie	związki niesformalizowane z dziećmi	33307
Lubelskie	małżeństwa bez dzieci	135942
Lubelskie	małżeństwa z dziećmi	266532
Lubelskie	samotne matki z dziećmi	123839
Lubelskie	samotni ojcowie z dziećmi	20228
Lubelskie	związki niesformalizowane bez dzieci	10936
Lubelskie	związki niesformalizowane z dziećmi	21472
Lubuskie	małżeństwa bez dzieci	63982
Lubuskie	małżeństwa z dziećmi	112401
Lubuskie	samotne matki z dziećmi	62831
Lubuskie	samotni ojcowie z dziećmi	10715
Lubuskie	związki niesformalizowane bez dzieci	9525
Lubuskie	związki niesformalizowane z dziećmi	21060
Mazowieckie	małżeństwa bez dzieci	343790
Mazowieckie	małżeństwa z dziećmi	657099
Mazowieckie	samotne matki z dziećmi	313084
Mazowieckie	samotni ojcowie z dziećmi	50727
Mazowieckie	związki niesformalizowane bez dzieci	54209
Mazowieckie	związki niesformalizowane z dziećmi	79311
Małopolskie	małżeństwa bez dzieci	196936
Małopolskie	małżeństwa z dziećmi	460541
Małopolskie	samotne matki z dziećmi	184260
Małopolskie	samotni ojcowie z dziećmi	31439
Małopolskie	związki niesformalizowane bez dzieci	24425
Małopolskie	związki niesformalizowane z dziećmi	37418
Opolskie	małżeństwa bez dzieci	63231
Opolskie	małżeństwa z dziećmi	117954
Opolskie	samotne matki z dziećmi	54747
Opolskie	samotni ojcowie z dziećmi	9905
Opolskie	związki niesformalizowane bez dzieci	6830
Opolskie	związki niesformalizowane z dziećmi	13547
Podkarpackie	małżeństwa bez dzieci	118830
Podkarpackie	małżeństwa z dziećmi	295003
Podkarpackie	samotne matki z dziećmi	118327
Podkarpackie	samotni ojcowie z dziećmi	19080
Podkarpackie	związki niesformalizowane bez dzieci	10081
Podkarpackie	związki niesformalizowane z dziećmi	21427
Podlaskie	małżeństwa bez dzieci	71180
Podlaskie	małżeństwa z dziećmi	147225
Podlaskie	samotne matki z dziećmi	69757
Podlaskie	samotni ojcowie z dziećmi	12093
Podlaskie	związki niesformalizowane bez dzieci	6822
Podlaskie	związki niesformalizowane z dziećmi	13083
Pomorskie	małżeństwa bez dzieci	148943
Pomorskie	małżeństwa z dziećmi	278499
Pomorskie	samotne matki z dziećmi	130219
Pomorskie	samotni ojcowie z dziećmi	22493
Pomorskie	związki niesformalizowane bez dzieci	24923
Pomorskie	związki niesformalizowane z dziećmi	41655
Warmińsko-mazurskie	małżeństwa bez dzieci	86389
Warmińsko-mazurskie	małżeństwa z dziećmi	159253
Warmińsko-mazurskie	samotne matki z dziećmi	87719
Warmińsko-mazurskie	samotni ojcowie z dziećmi	14699
Warmińsko-mazurskie	związki niesformalizowane bez dzieci	12224
Warmińsko-mazurskie	związki niesformalizowane z dziećmi	25947
Wielkopolskie	małżeństwa bez dzieci	232247
Wielkopolskie	małżeństwa z dziećmi	450919
Wielkopolskie	samotne matki z dziećmi	180239
Wielkopolskie	samotni ojcowie z dziećmi	30827
Wielkopolskie	związki niesformalizowane bez dzieci	33791
Wielkopolskie	związki niesformalizowane z dziećmi	59456
Zachodniopomorskie	małżeństwa bez dzieci	112776
Zachodniopomorskie	małżeństwa z dziećmi	180501
Zachodniopomorskie	samotne matki z dziećmi	105687
Zachodniopomorskie	samotni ojcowie z dziećmi	19189
Zachodniopomorskie	związki niesformalizowane bez dzieci	16158
Zachodniopomorskie	związki niesformalizowane z dziećmi	33781
Łódzkie	małżeństwa bez dzieci	171852
Łódzkie	małżeństwa z dziećmi	282018
Łódzkie	samotne matki z dziećmi	149942
Łódzkie	samotni ojcowie z dziećmi	22982
Łódzkie	związki niesformalizowane bez dzieci	20902
Łódzkie	związki niesformalizowane z dziećmi	35171
Śląskie	małżeństwa bez dzieci	331807
Śląskie	małżeństwa z dziećmi	539016
Śląskie	samotne matki z dziećmi	241449
Śląskie	samotni ojcowie z dziećmi	43952
Śląskie	związki niesformalizowane bez dzieci	39396
Śląskie	związki niesformalizowane z dziećmi	62874
Świętokrzyskie	małżeństwa bez dzieci	81940
Świętokrzyskie	małżeństwa z dziećmi	156169
Świętokrzyskie	samotne matki z dziećmi	73264
Świętokrzyskie	samotni ojcowie z dziećmi	11875
Świętokrzyskie	związki niesformalizowane bez dzieci	6497
Świętokrzyskie	związki niesformalizowane z dziećmi	12774
