region	composition	household_count
Dolnośląskie	dwurodzinne	74666
Dolnośląskie	jednorodzinne	626474
Dolnośląskie	nierodzinne - jednoosobowe	257207
Dolnośląskie	nierodzinne - wieloosobowe	63793
Dolnośląskie	trzy i więcej rodzinne	11113
Kujawsko-pomorskie	dwurodzinne	64297
Kujawsko-pomorskie	jednorodzinne	413825
Kujawsko-pomorskie	nierodzinne - jednoosobowe	138431
Kujawsko-pomorskie	nierodzinne - wieloosobowe	30942
Kujawsko-pomorskie	trzy i więcej rodzinne	9439
Lubelskie	dwurodzinne	72987
Lubelskie	jednorodzinne	402870
Lubelskie	nierodzinne - jednoosobowe	134136
Lubelskie	nierodzinne - wieloosobowe	24215
Lubelskie	trzy i więcej rodzinne	9585
Lubuskie	dwurodzinne	28373
Lubuskie	jednorodzinne	211513
Lubuskie	nierodzinne - jednoosobowe	72693
Lubuskie	nierodzinne - wieloosobowe	16401
Lubuskie	trzy i więcej rodzinne	3867
Mazowieckie	dwurodzinne	148304
Mazowieckie	jednorodzinne	1135504
Mazowieckie	nierodzinne - jednoosobowe	494438
Mazowieckie	nierodzinne - wieloosobowe	112587
Mazowieckie	trzy i więcej rodzinne	20541
Małopolskie	dwurodzinne	129840
Małopolskie	jednorodzinne	613982
Małopolskie	nierodzinne - jednoosobowe	210202
Małopolskie	nierodzinne - wieloosobowe	52376
Małopolskie	trzy i więcej rodzinne	19392
Opolskie	dwurodzinne	31552
Opolskie	jednorodzinne	192973
Opolskie	nierodzinne - jednoosobowe	66391
Opolskie	nierodzinne - wieloosobowe	15730
Opolskie	trzy i więcej rodzinne	3251
Podkarpackie	dwurodzinne	83517
Podkarpackie	jednorodzinne	382164
Podkarpackie	nierodzinne - jednoosobowe	101848
Podkarpackie	nierodzinne - wieloosobowe	21529
Podkarpackie	trzy i więcej rodzinne	10734
Podlaskie	dwurodzinne	36830
Podlaskie	jednorodzinne	232398
Podlaskie	nierodzinne - jednoosobowe	82330
Podlaskie	nierodzinne - wieloosobowe	15703
Podlaskie	trzy i więcej rodzinne	4512
Pomorskie	dwurodzinne	67029
Pomorskie	jednorodzinne	477473
Pomorskie	nierodzinne - jednoosobowe	172351
Pomorskie	nierodzinne - wieloosobowe	43828
Pomorskie	trzy i więcej rodzinne	10921
Warmińsko-mazurskie	dwurodzinne	40350
Warmińsko-mazurskie	jednorodzinne	286785
Warmińsko-mazurskie	nierodzinne - jednoosobowe	97380
Warmińsko-mazurskie	nierodzinne - wieloosobowe	21472
Warmińsko-mazurskie	trzy i więcej rodzinne	5874
Wielkopolskie	dwurodzinne	123616
Wielkopolskie	jednorodzinne	691704
Wielkopolskie	nierodzinne - jednoosobowe	215703
Wielkopolskie	nierodzinne - wieloosobowe	49738
Wielkopolskie	trzy i więcej rodzinne	15324
Zachodniopomorskie	dwurodzinne	44814
Zachodniopomorskie	jednorodzinne	358555
Zachodniopomorskie	nierodzinne - jednoosobowe	132724
Zachodniopomorskie	nierodzinne - wieloosobowe	30371
Zachodniopomorskie	trzy i więcej rodzinne	6252
Łódzkie	dwurodzinne	74680
Łódzkie	jednorodzinne	508021
Łódzkie	nierodzinne - jednoosobowe	213791
Łódzkie	nierodzinne - wieloosobowe	38190
Łódzkie	trzy i więcej rodzinne	8083
Śląskie	dwurodzinne	133750
Śląskie	jednorodzinne	947845
Śląskie	nierodzinne - jednoosobowe	359763
Śląskie	nierodzinne - wieloosobowe	70047
Śląskie	trzy i więcej rodzinne	13774
Świętokrzyskie	dwurodzinne	47044
Świętokrzyskie	jednorodzinne	229153
Świętokrzyskie	nierodzinne - jednoosobowe	75170
Świętokrzyskie	nierodzinne - wieloosobowe	13275
Świętokrzyskie	trzy i więcej rodzinne	6154
