region	sex	age_band	residence	count
Dolnośląskie	female	0-14	private_household	184898
Dolnośląskie	female	15-17	private_household	44673
Dolnośląskie	female	18-19	private_household	26825
Dolnośląskie	female	20-24	private_household	58894
Dolnośląskie	female	25-29	private_household	71955
Dolnośląskie	female	30-34	private_household	93957
Dolnośląskie	female	35-39	private_household	108781
Dolnośląskie	female	40-44	private_household	126250
Dolnośląskie	female	45-49	private_household	117731
Dolnośląskie	female	50-54	private_household	99134
Dolnośląskie	female	55-59	private_household	78483
Dolnośląskie	female	60-64	private_household	83884
Dolnośląskie	female	65-74	private_household	210746
Dolnośląskie	female	75-89	private_household	141679
Dolnośląskie	female	90+	private_household	17967
Dolnośląskie	male	0-14	private_household	194892
Dolnośląskie	male	15-17	private_household	46750
Dolnośląskie	male	18-19	private_household	27870
Dolnośląskie	male	20-24	private_household	61173
Dolnośląskie	male	25-29	private_household	72157
Dolnośląskie	male	30-34	private_household	94229
Dolnośląskie	male	35-39	private_household	110629
Dolnośląskie	male	40-44	private_household	128824
Dolnośląskie	male	45-49	private_household	119736
Dolnośląskie	male	50-54	private_household	99205
Dolnośląskie	male	55-59	private_household	75888
Dolnośląskie	male	60-64	private_household	74789
Dolnośląskie	male	65-74	private_household	162322
Dolnośląskie	male	75-89	private_household	81398
Dolnośląskie	male	90+	private_household	5656
Kujawsko-pomorskie	female	0-14	private_household	130948
Kujawsko-pomorskie	female	15-17	private_household	34152
Kujawsko-pomorskie	female	18-19	private_household	20352
Kujawsko-pomorskie	female	20-24	private_household	46062
Kujawsko-pomorskie	female	25-29	private_household	49194
Kujawsko-pomorskie	female	30-34	private_household	58644
Kujawsko-pomorskie	female	35-39	private_household	69594
Kujawsko-pomorskie	female	40-44	private_household	81825
Kujawsko-pomorskie	female	45-49	private_household	78466
Kujawsko-pomorskie	female	50-54	private_household	70952
Kujawsko-pomorskie	female	55-59	private_household	60843
Kujawsko-pomorskie	female	60-64	private_household	62407
Kujawsko-pomorskie	female	65-74	private_household	139513
Kujawsko-pomorskie	female	75-89	private_household	96504
Kujawsko-pomorskie	female	90+	private_household	11059
Kujawsko-pomorskie	male	0-14	private_household	138970
Kujawsko-pomorskie	male	15-17	private_household	35567
Kujawsko-pomorskie	male	18-19	private_household	21434
Kujawsko-pomorskie	male	20-24	private_household	48284
Kujawsko-pomorskie	male	25-29	private_household	51772
Kujawsko-pomorskie	male	30-34	private_household	60854
Kujawsko-pomorskie	male	35-39	private_household	71543
Kujawsko-pomorskie	male	40-44	private_household	83782
Kujawsko-pomorskie	male	45-49	private_household	79017
Kujawsko-pomorskie	male	50-54	private_household	69966
Kujawsko-pomorskie	male	55-59	private_household	57691
Kujawsko-pomorskie	male	60-64	private_household	56209
Kujawsko-pomorskie	male	65-74	private_household	110975
Kujawsko-pomorskie	male	75-89	private_household	55909
Kujawsko-pomorskie	male	90+	private_household	3660
Lubelskie	female	0-14	private_household	130733
Lubelskie	female	15-17	private_household	33259
Lubelskie	female	18-19	private_household	20467
Lubelskie	female	20-24	private_household	48517
Lubelskie	female	25-29	private_household	50515
Lubelskie	female	30-34	private_household	55428
Lubelskie	female	35-39	private_household	66185
