region	sex	age_band	count
Dolnośląskie	female	0-14	187197
Dolnośląskie	female	15-17	45229
Dolnośląskie	female	18-19	27159
Dolnośląskie	female	20-24	59626
Dolnośląskie	female	25-29	72850
Dolnośląskie	female	30-34	95125
Dolnośląskie	female	35-39	110134
Dolnośląskie	female	40-44	127820
Dolnośląskie	female	45-49	119195
Dolnośląskie	female	50-54	100367
Dolnośląskie	female	55-59	79459
Dolnośląskie	female	60-64	84927
Dolnośląskie	female	65-74	213367
Dolnośląskie	female	75-89	143441
Dolnośląskie	female	90+	18190
Dolnośląskie	male	0-14	197316
Dolnośląskie	male	15-17	47331
Dolnośląskie	male	18-19	28217
Dolnośląskie	male	20-24	61934
Dolnośląskie	male	25-29	73054
Dolnośląskie	male	30-34	95401
Dolnośląskie	male	35-39	112005
Dolnośląskie	male	40-44	130426
Dolnośląskie	male	45-49	121225
Dolnośląskie	male	50-54	100439
Dolnośląskie	male	55-59	76832
Dolnośląskie	male	60-64	75719
Dolnośląskie	male	65-74	164341
Dolnośląskie	male	75-89	82410
Dolnośląskie	male	90+	5726
Kujawsko-pomorskie	female	0-14	131961
Kujawsko-pomorskie	female	15-17	34416
Kujawsko-pomorskie	female	18-19	20509
Kujawsko-pomorskie	female	20-24	46418
Kujawsko-pomorskie	female	25-29	49575
Kujawsko-pomorskie	female	30-34	59098
Kujawsko-pomorskie	female	35-39	70133
Kujawsko-pomorskie	female	40-44	82458
Kujawsko-pomorskie	female	45-49	79073
Kujawsko-pomorskie	female	50-54	71501
Kujawsko-pomorskie	female	55-59	61314
Kujawsko-pomorskie	female	60-64	62890
Kujawsko-pomorskie	female	65-74	140593
Kujawsko-pomorskie	female	75-89	97251
Kujawsko-pomorskie	female	90+	11145
Kujawsko-pomorskie	male	0-14	140045
Kujawsko-pomorskie	male	15-17	35842
Kujawsko-pomorskie	male	18-19	21600
Kujawsko-pomorskie	male	20-24	48658
Kujawsko-pomorskie	male	25-29	52173
Kujawsko-pomorskie	male	30-34	61325
Kujawsko-pomorskie	male	35-39	72097
Kujawsko-pomorskie	male	40-44	84430
Kujawsko-pomorskie	male	45-49	79628
Kujawsko-pomorskie	male	50-54	70507
Kujawsko-pomorskie	male	55-59	58137
Kujawsko-pomorskie	male	60-64	56644
Kujawsko-pomorskie	male	65-74	111834
Kujawsko-pomorskie	male	75-89	56342
Kujawsko-pomorskie	male	90+	3688
Lubelskie	female	0-14	131503
Lubelskie	female	15-17	33455
Lubelskie	female	18-19	20587
Lubelskie	female	20-24	48803
Lubelskie	female	25-29	50812
Lubelskie	female	30-34	55754
Lubelskie	female	35-39	66575
Lubelskie	female	40-44	78912
Lubelskie	female	45-49	76119
Lubelskie	female	50-54	69738
Lubelskie	female	55-59	62171
Lubelskie	female	60-64	64111
Lubelskie	female	65-74	143106
Lubelskie	female	75-89	106990
Lubelskie	female	90+	13327
Lubelskie	male	0-14	138694
Lubelskie	male	15-17	34996
Lubelskie	male	18-19	21541
Lubelskie	male	20-24	51028
Lubelskie	male	25-29	55037
Lubelskie	male	30-34	61607
Lubelskie	male	35-39	71356
Lubelskie	male	40-44	82769
Lubelskie	male	45-49	78085
Lubelskie	male	50-54	69541
Lubelskie	male	55-59	59871
Lubelskie	male	60-64	58400
Lubelskie	male	65-74	112481
Lubelskie	male	75-89	58916
Lubelskie	male	90+	4044
Lubuskie	female	0-14	64299
Lubuskie	female	15-17	16660
Lubuskie	female	18-19	10286
Lubuskie	female	20-24	22310
Lubuskie	female	25-29	22885
Lubuskie	female	30-34	27269
Lubuskie	female	35-39	34314
Lubuskie	female	40-44	42038
Lubuskie	female	45-49	40662
Lubuskie	female	50-54	34624
Lubuskie	female	55-59	28240
Lubuskie	female	60-64	29913
Lubuskie	female	65-74	71668
Lubuskie	female	75-89	46085
Lubuskie	female	90+	5098
Lubuskie	male	0-14	67642
Lubuskie	male	15-17	17607
Lubuskie	male	18-19	10697
Lubuskie	male	20-24	23109
Lubuskie	male	25-29	24611
Lubuskie	male	30-34	28735
Lubuskie	male	35-39	35279
Lubuskie	male	40-44	43190
Lubuskie	male	45-49	41320
Lubuskie	male	50-54	35034
Lubuskie	male	55-59	27396
Lubuskie	male	60-64	27318
Lubuskie	male	65-74	56682
Lubuskie	male	75-89	26927
Lubuskie	male	90+	1531
Mazowieckie	female	0-14	409293
Mazowieckie	female	15-17	93563
Mazowieckie	female	18-19	55931
Mazowieckie	female	20-24	124387
Mazowieckie	female	25-29	141947
Mazowieckie	female	30-34	188987
Mazowieckie	female	35-39	218618
Mazowieckie	female	40-44	243488
Mazowieckie	female	45-49	233632
Mazowieckie	female	50-54	196643
Mazowieckie	female	55-59	154590
Mazowieckie	female	60-64	150711
Mazowieckie	female	65-74	359859
Mazowieckie	female	75-89	261529
Mazowieckie	female	90+	34892
Mazowieckie	male	0-14	431613
Mazowieckie	male	15-17	98595
Mazowieckie	male	18-19	59042
Mazowieckie	male	20-24	129871
Mazowieckie	male	25-29	143426
Mazowieckie	male	30-34	183263
Mazowieckie	male	35-39	214379
Mazowieckie	male	40-44	239652
Mazowieckie	male	45-49	228500
Mazowieckie	male	50-54	191486
Mazowieckie	male	55-59	147327
Mazowieckie	male	60-64	134331
Mazowieckie	male	65-74	274161
Mazowieckie	male	75-89	147979
Mazowieckie	male	90+	12354
Małopolskie	female	0-14	254265
Małopolskie	female	15-17	57960
Małopolskie	female	18-19	34538
Małopolskie	female	20-24	81471
Małopolskie	female	25-29	96713
Małopolskie	female	30-34	122496
Małopolskie	female	35-39	133918
Małopolskie	female	40-44	144461
Małopolskie	female	45-49	133491
Małopolskie	female	50-54	117131
Małopolskie	female	55-59	101447
Małopolskie	female	60-64	100708
Małopolskie	female	65-74	209961
Małopolskie	female	75-89	157214
Małopolskie	female	90+	20009
Małopolskie	male	0-14	268525
Małopolskie	male	15-17	60850
Małopolskie	male	18-19	35801
Małopolskie	male	20-24	84584
Małopolskie	male	25-29	97907
Małopolskie	male	30-34	123294
Małopolskie	male	35-39	136633
Małopolskie	male	40-44	144947
Małopolskie	male	45-49	133911
Małopolskie	male	50-54	114527
Małopolskie	male	55-59	97916
Małopolskie	male	60-64	93221
Małopolskie	male	65-74	170109
Małopolskie	male	75-89	93334
Małopolskie	male	90+	7208
Opolskie	female	0-14	58082
Opolskie	female	15-17	13968
Opolskie	female	18-19	8408
Opolskie	female	20-24	19766
Opolskie	female	25-29	21958
Opolskie	female	30-34	26534
Opolskie	female	35-39	34237
Opolskie	female	40-44	39180
Opolskie	female	45-49	37575
Opolskie	female	50-54	34053
Opolskie	female	55-59	30838
Opolskie	female	60-64	32017
Opolskie	female	65-74	66741
Opolskie	female	75-89	48259
Opolskie	female	90+	5811
Opolskie	male	0-14	61291
Opolskie	male	15-17	14646
Opolskie	male	18-19	8927
Opolskie	male	20-24	20745
Opolskie	male	25-29	22830
Opolskie	male	30-34	27458
Opolskie	male	35-39	34554
Opolskie	male	40-44	39286
Opolskie	male	45-49	37759
Opolskie	male	50-54	33533
Opolskie	male	55-59	30482
Opolskie	male	60-64	30630
Opolskie	male	65-74	53994
Opolskie	male	75-89	27510
Opolskie	male	90+	2146
Podkarpackie	female	0-14	143889
Podkarpackie	female	15-17	34886
Podkarpackie	female	18-19	21313
Podkarpackie	female	20-24	51102
Podkarpackie	female	25-29	54116
Podkarpackie	female	30-34	62023
Podkarpackie	female	35-39	74461
Podkarpackie	female	40-44	83877
Podkarpackie	female	45-49	79984
Podkarpackie	female	50-54	71731
Podkarpackie	female	55-59	63946
Podkarpackie	female	60-64	64922
Podkarpackie	female	65-74	133143
Podkarpackie	female	75-89	96744
Podkarpackie	female	90+	12719
Podkarpackie	male	0-14	152474
Podkarpackie	male	15-17	36712
Podkarpackie	male	18-19	22217
Podkarpackie	male	20-24	53701
Podkarpackie	male	25-29	58179
Podkarpackie	male	30-34	66657
Podkarpackie	male	35-39	79051
Podkarpackie	male	40-44	86565
Podkarpackie	male	45-49	81704
Podkarpackie	male	50-54	72236
Podkarpackie	male	55-59	61790
Podkarpackie	male	60-64	61469
Podkarpackie	male	65-74	109902
Podkarpackie	male	75-89	57440
Podkarpackie	male	90+	4372
Podlaskie	female	0-14	77616
Podlaskie	female	15-17	18497
Podlaskie	female	18-19	11140
Podlaskie	female	20-24	26580
Podlaskie	female	25-29	28552
Podlaskie	female	30-34	33205
Podlaskie	female	35-39	40151
Podlaskie	female	40-44	44980
Podlaskie	female	45-49	42160
Podlaskie	female	50-54	39127
Podlaskie	female	55-59	36546
Podlaskie	female	60-64	38130
Podlaskie	female	65-74	76815
Podlaskie	female	75-89	57075
Podlaskie	female	90+	8053
Podlaskie	male	0-14	82047
Podlaskie	male	15-17	19448
Podlaskie	male	18-19	11850
Podlaskie	male	20-24	27589
Podlaskie	male	25-29	30641
Podlaskie	male	30-34	36820
Podlaskie	male	35-39	43114
Podlaskie	male	40-44	47729
Podlaskie	male	45-49	42974
Podlaskie	male	50-54	38634
Podlaskie	male	55-59	34991
Podlaskie	male	60-64	35032
Podlaskie	male	65-74	62616
Podlaskie	male	75-89	31650
Podlaskie	male	90+	2648
Pomorskie	female	0-14	176433
Pomorskie	female	15-17	41331
Pomorskie	female	18-19	25121
Pomorskie	female	20-24	56193
Pomorskie	female	25-29	64894
Pomorskie	female	30-34	82126
Pomorskie	female	35-39	91924
Pomorskie	female	40-44	100727
Pomorskie	female	45-49	93509
Pomorskie	female	50-54	81092
Pomorskie	female	55-59	65851
Pomorskie	female	60-64	66816
Pomorskie	female	65-74	151518
Pomorskie	female	75-89	103416
Pomorskie	female	90+	12429
Pomorskie	male	0-14	186136
Pomorskie	male	15-17	43878
Pomorskie	male	18-19	26179
Pomorskie	male	20-24	58019
Pomorskie	male	25-29	64068
Pomorskie	male	30-34	81754
Pomorskie	male	35-39	92977
Pomorskie	male	40-44	100891
Pomorskie	male	45-49	93873
Pomorskie	male	50-54	80404
Pomorskie	male	55-59	64884
Pomorskie	male	60-64	61684
Pomorskie	male	65-74	121211
Pomorskie	male	75-89	63794
Pomorskie	male	90+	4533
Warmińsko-mazurskie	female	0-14	89048
Warmińsko-mazurskie	female	15-17	23178
Warmińsko-mazurskie	female	18-19	14355
Warmińsko-mazurskie	female	20-24	32765
Warmińsko-mazurskie	female	25-29	33147
Warmińsko-mazurskie	female	30-34	37736
Warmińsko-mazurskie	female	35-39	46848
Warmińsko-mazurskie	female	40-44	55995
Warmińsko-mazurskie	female	45-49	53295
Warmińsko-mazurskie	female	50-54	47173
Warmińsko-mazurskie	female	55-59	41859
Warmińsko-mazurskie	female	60-64	44847
Warmińsko-mazurskie	female	65-74	97410
Warmińsko-mazurskie	female	75-89	61105
Warmińsko-mazurskie	female	90+	7529
Warmińsko-mazurskie	male	0-14	93969
Warmińsko-mazurskie	male	15-17	24688
Warmińsko-mazurskie	male	18-19	14997
Warmińsko-mazurskie	male	20-24	34877
Warmińsko-mazurskie	male	25-29	35515
Warmińsko-mazurskie	male	30-34	41430
Warmińsko-mazurskie	male	35-39	49746
Warmińsko-mazurskie	male	40-44	58719
Warmińsko-mazurskie	male	45-49	54933
Warmińsko-mazurskie	male	50-54	47436
Warmińsko-mazurskie	male	55-59	39978
Warmińsko-mazurskie	male	60-64	41281
Warmińsko-mazurskie	male	65-74	78372
Warmińsko-mazurskie	male	75-89	34760
Warmińsko-mazurskie	male	90+	2189
Wielkopolskie	female	0-14	255846
Wielkopolskie	female	15-17	60915
Wielkopolskie	female	18-19	36257
Wielkopolskie	female	20-24	81898
Wielkopolskie	female	25-29	92679
Wielkopolskie	female	30-34	113466
Wielkopolskie	female	35-39	130778
Wielkopolskie	female	40-44	147642
Wielkopolskie	female	45-49	140061
Wielkopolskie	female	50-54	121999
Wielkopolskie	female	55-59	100584
Wielkopolskie	female	60-64	101409
Wielkopolskie	female	65-74	227100
Wielkopolskie	female	75-89	157998
Wielkopolskie	female	90+	16692
Wielkopolskie	male	0-14	270203
Wielkopolskie	male	15-17	64300
