region	sex	age_label	count
Dolnośląskie	male	0	8724
Dolnośląskie	female	0	8390
Dolnośląskie	male	1	9375
Dolnośląskie	female	1	8748
Dolnośląskie	male	2	9952
Dolnośląskie	female	2	9680
Dolnośląskie	male	3	11805
Dolnośląskie	female	3	11051
Dolnośląskie	male	4	12844
Dolnośląskie	female	4	11971
Dolnośląskie	male	5	12820
Dolnośląskie	female	5	12331
Dolnośląskie	male	6	14014
Dolnośląskie	female	6	13039
Dolnośląskie	male	7	14455
Dolnośląskie	female	7	13835
Dolnośląskie	male	8	15168
Dolnośląskie	female	8	14581
Dolnośląskie	male	9	15080
Dolnośląskie	female	9	14166
Dolnośląskie	male	10	14525
Dolnośląskie	female	10	13835
Dolnośląskie	male	11	14664
Dolnośląskie	female	11	14123
Dolnośląskie	male	12	14048
Dolnośląskie	female	12	13343
Dolnośląskie	male	13	14846
Dolnośląskie	female	13	14011
Dolnośląskie	male	14	14996
Dolnośląskie	female	14	14093
Dolnośląskie	male	15	15882
Dolnośląskie	female	15	15008
Dolnośląskie	male	16	15709
Dolnośląskie	female	16	15185
Dolnośląskie	male	17	15740
Dolnośląskie	female	17	15036
Dolnośląskie	male	18	14534
Dolnośląskie	female	18	13960
Dolnośląskie	male	19	13683
Dolnośląskie	female	19	13199
Dolnośląskie	male	20	12992
Dolnośląskie	female	20	12441
Dolnośląskie	male	21	12326
Dolnośląskie	female	21	11894
Dolnośląskie	male	22	11815
Dolnośląskie	female	22	11253
Dolnośląskie	male	23	12174
Dolnośląskie	female	23	11529
Dolnośląskie	male	24	12627
Dolnośląskie	female	24	12509
Dolnośląskie	male	25	12980
Dolnośląskie	female	25	13048
Dolnośląskie	male	26	13443
Dolnośląskie	female	26	13340
Dolnośląskie	male	27	14405
Dolnośląskie	female	27	14179
Dolnośląskie	male	28	15573
Dolnośląskie	female	28	15716
Dolnośląskie	male	29	16653
Dolnośląskie	female	29	16567
Dolnośląskie	male	30	17481
Dolnośląskie	female	30	17417
Dolnośląskie	male	31	18146
Dolnośląskie	female	31	18687
Dolnośląskie	male	32	19099
Dolnośląskie	female	32	18867
Dolnośląskie	male	33	19643
Dolnośląskie	female	33	19352
Dolnośląskie	male	34	21032
Dolnośląskie	female	34	20802
Dolnośląskie	male	35	21703
Dolnośląskie	female	35	21231
Dolnośląskie	male	36	21699
Dolnośląskie	female	36	21470
Dolnośląskie	male	37	22287
Dolnośląskie	female	37	21632
Dolnośląskie	male	38	22883
Dolnośląskie	female	38	22316
Dolnośląskie	male	39	23433
Dolnośląskie	female	39	23485
Dolnośląskie	male	40	25596
Dolnośląskie	female	40	25048
Dolnośląskie	male	41	26429
Dolnośląskie	female	41	25878
Dolnośląskie	male	42	27404
Dolnośląskie	female	42	26602
Dolnośląskie	male	43	25993
Dolnośląskie	female	43	25299
Dolnośląskie	male	44	25004
Dolnośląskie	female	44	24993
Dolnośląskie	male	45	25487
Dolnośląskie	female	45	25023
Dolnośląskie	male	46	24781
Dolnośląskie	female	46	24285
Dolnośląskie	male	47	23834
Dolnośląskie	female	47	23712
Dolnośląskie	male	48	23711
Dolnośląskie	female	48	23179
Dolnośląskie	male	49	23412
Dolnośląskie	female	49	22996
Dolnośląskie	male	50	22462
Dolnośląskie	female	50	22393
Dolnośląskie	male	51	21105
Dolnośląskie	female	51	21150
Dolnośląskie	male	52	20059
Dolnośląskie	female	52	20004
Dolnośląskie	male	53	19005
Dolnośląskie	female	53	18795
Dolnośląskie	male	54	17808
Dolnośląskie	female	54	18025
Dolnośląskie	male	55	16667
Dolnośląskie	female	55	16912
Dolnośląskie	male	56	15809
Dolnośląskie	female	56	16214
Dolnośląskie	male	57	14979
Dolnośląskie	female	57	15525
Dolnośląskie	male	58	14599
Dolnośląskie	female	58	15207
Dolnośląskie	male	59	14778
Dolnośląskie	female	59	15601
Dolnośląskie	male	60	14792
Dolnośląskie	female	60	16054
Dolnośląskie	male	61	14837
Dolnośląskie	female	61	16399
Dolnośląskie	male	62	14989
Dolnośląskie	female	62	16805
Dolnośląskie	male	63	15051
Dolnośląskie	female	63	17242
Dolnośląskie	male	64	16050
Dolnośląskie	female	64	18427
Dolnośląskie	male	65	16420
Dolnośląskie	female	65	19672
Dolnośląskie	male	66	17376
Dolnośląskie	female	66	20949
Dolnośląskie	male	67	18069
Dolnośląskie	female	67	21882
Dolnośląskie	male	68	17758
Dolnośląskie	female	68	22148
Dolnośląskie	male	69	17311
Dolnośląskie	female	69	22256
Dolnośląskie	male	70	17233
Dolnośląskie	female	70	22541
Dolnośląskie	male	71	15840
Dolnośląskie	female	71	21405
Dolnośląskie	male	72	15504
Dolnośląskie	female	72	20925
Dolnośląskie	male	73	14881
Dolnośląskie	female	73	21104
Dolnośląskie	male	74	13949
Dolnośląskie	female	74	20485
Dolnośląskie	male	75	12764
Dolnośląskie	female	75	18772
Dolnośląskie	male	76	11751
Dolnośląskie	female	76	17566
Dolnośląskie	male	77	10905
Dolnośląskie	female	77	16445
Dolnośląskie	male	78	9264
Dolnośląskie	female	78	14389
Dolnośląskie	male	79	7405
Dolnośląskie	female	79	11771
Dolnośląskie	male	80	4513
Dolnośląskie	female	80	7732
Dolnośląskie	male	81	4197
Dolnośląskie	female	81	7418
Dolnośląskie	male	82	3641
Dolnośląskie	female	82	6745
Dolnośląskie	male	83	3266
Dolnośląskie	female	83	6476
Dolnośląskie	male	84	3158
Dolnośląskie	female	84	6773
Dolnośląskie	male	85	2989
Dolnośląskie	female	85	6882
Dolnośląskie	male	86	2567
Dolnośląskie	female	86	6413
Dolnośląskie	male	87	2262
Dolnośląskie	female	87	5782
Dolnośląskie	male	88	2002
Dolnośląskie	female	88	5420
Dolnośląskie	male	89	1726
Dolnośląskie	female	89	4857
Dolnośląskie	male	90	1462
Dolnośląskie	female	90	4118
Dolnośląskie	male	91	1087
Dolnośląskie	female	91	3424
Dolnośląskie	male	92	894
Dolnośląskie	female	92	2721
Dolnośląskie	male	93	762
Dolnośląskie	female	93	2313
Dolnośląskie	male	94	528
Dolnośląskie	female	94	1732
Dolnośląskie	male	95	398
Dolnośląskie	female	95	1367
Dolnośląskie	male	96	218
Dolnośląskie	female	96	941
Dolnośląskie	male	97	189
Dolnośląskie	female	97	715
Dolnośląskie	male	98	119
Dolnośląskie	female	98	522
Dolnośląskie	male	99	69
Dolnośląskie	female	99	337
Kujawsko-pomorskie	male	0	5747
Kujawsko-pomorskie	female	0	5399
Kujawsko-pomorskie	male	1	6229
Kujawsko-pomorskie	female	1	5790
Kujawsko-pomorskie	male	2	6775
Kujawsko-pomorskie	female	2	6649
Kujawsko-pomorskie	male	3	7749
Kujawsko-pomorskie	female	3	7243
Kujawsko-pomorskie	male	4	8686
Kujawsko-pomorskie	female	4	8104
Kujawsko-pomorskie	male	5	9256
Kujawsko-pomorskie	female	5	8800
Kujawsko-pomorskie	male	6	10053
Kujawsko-pomorskie	female	6	9364
Kujawsko-pomorskie	male	7	10522
Kujawsko-pomorskie	female	7	9802
Kujawsko-pomorskie	male	8	11103
Kujawsko-pomorskie	female	8	10194
Kujawsko-pomorskie	male	9	10521
Kujawsko-pomorskie	female	9	10050
Kujawsko-pomorskie	male	10	10277
Kujawsko-pomorskie	female	10	9787
Kujawsko-pomorskie	male	11	10540
Kujawsko-pomorskie	female	11	10016
Kujawsko-pomorskie	male	12	10490
Kujawsko-pomorskie	female	12	9980
Kujawsko-pomorskie	male	13	11056
Kujawsko-pomorskie	female	13	10396
Kujawsko-pomorskie	male	14	11041
Kujawsko-pomorskie	female	14	10387
Kujawsko-pomorskie	male	15	11903
Kujawsko-pomorskie	female	15	11228
Kujawsko-pomorskie	male	16	11999
Kujawsko-pomorskie	female	16	11676
Kujawsko-pomorskie	male	17	11940
Kujawsko-pomorskie	female	17	11512
Kujawsko-pomorskie	male	18	11161
Kujawsko-pomorskie	female	18	10556
Kujawsko-pomorskie	male	19	10439
Kujawsko-pomorskie	female	19	9953
Kujawsko-pomorskie	male	20	9813
Kujawsko-pomorskie	female	20	9480
Kujawsko-pomorskie	male	21	9561
Kujawsko-pomorskie	female	21	9305
Kujawsko-pomorskie	male	22	9645
Kujawsko-pomorskie	female	22	9109
Kujawsko-pomorskie	male	23	9530
Kujawsko-pomorskie	female	23	9144
Kujawsko-pomorskie	male	24	10109
Kujawsko-pomorskie	female	24	9380
Kujawsko-pomorskie	male	25	10004
Kujawsko-pomorskie	female	25	9722
Kujawsko-pomorskie	male	26	10095
Kujawsko-pomorskie	female	26	9626
Kujawsko-pomorskie	male	27	10394
Kujawsko-pomorskie	female	27	9728
Kujawsko-pomorskie	male	28	10586
Kujawsko-pomorskie	female	28	10011
Kujawsko-pomorskie	male	29	11094
Kujawsko-pomorskie	female	29	10488
Kujawsko-pomorskie	male	30	11018
Kujawsko-pomorskie	female	30	10709
Kujawsko-pomorskie	male	31	11866
Kujawsko-pomorskie	female	31	11266
Kujawsko-pomorskie	male	32	12273
Kujawsko-pomorskie	female	32	11921
Kujawsko-pomorskie	male	33	12666
Kujawsko-pomorskie	female	33	12181
Kujawsko-pomorskie	male	34	13502
Kujawsko-pomorskie	female	34	13021
Kujawsko-pomorskie	male	35	13935
Kujawsko-pomorskie	female	35	13516
Kujawsko-pomorskie	male	36	13863
Kujawsko-pomorskie	female	36	13498
Kujawsko-pomorskie	male	37	14245
Kujawsko-pomorskie	female	37	13798
Kujawsko-pomorskie	male	38	14491
Kujawsko-pomorskie	female	38	14421
Kujawsko-pomorskie	male	39	15563
Kujawsko-pomorskie	female	39	14900
Kujawsko-pomorskie	male	40	16522
Kujawsko-pomorskie	female	40	16133
Kujawsko-pomorskie	male	41	17112
Kujawsko-pomorskie	female	41	16732
Kujawsko-pomorskie	male	42	17442
Kujawsko-pomorskie	female	42	17159
Kujawsko-pomorskie	male	43	17103
Kujawsko-pomorskie	female	43	16570
Kujawsko-pomorskie	male	44	16251
Kujawsko-pomorskie	female	44	15864
Kujawsko-pomorskie	male	45	16326
Kujawsko-pomorskie	female	45	16125
Kujawsko-pomorskie	male	46	16277
Kujawsko-pomorskie	female	46	15955
Kujawsko-pomorskie	male	47	15624
Kujawsko-pomorskie	female	47	15601
Kujawsko-pomorskie	male	48	15475
Kujawsko-pomorskie	female	48	15379
Kujawsko-pomorskie	male	49	15926
Kujawsko-pomorskie	female	49	16013
Kujawsko-pomorskie	male	50	15258
Kujawsko-pomorskie	female	50	15385
Kujawsko-pomorskie	male	51	14587
Kujawsko-pomorskie	female	51	14616
Kujawsko-pomorskie	male	52	14219
Kujawsko-pomorskie	female	52	14348
Kujawsko-pomorskie	male	53	13526
Kujawsko-pomorskie	female	53	13703
Kujawsko-pomorskie	male	54	12917
Kujawsko-pomorskie	female	54	13449
Kujawsko-pomorskie	male	55	12501
Kujawsko-pomorskie	female	55	12695
Kujawsko-pomorskie	male	56	11787
Kujawsko-pomorskie	female	56	12546
Kujawsko-pomorskie	male	57	11487
Kujawsko-pomorskie	female	57	12186
Kujawsko-pomorskie	male	58	11272
Kujawsko-pomorskie	female	58	12042
Kujawsko-pomorskie	male	59	11090
Kujawsko-pomorskie	female	59	11845
Kujawsko-pomorskie	male	60	11128
Kujawsko-pomorskie	female	60	12190
Kujawsko-pomorskie	male	61	11213
Kujawsko-pomorskie	female	61	12214
Kujawsko-pomorskie	male	62	11235
Kujawsko-pomorskie	female	62	12753
Kujawsko-pomorskie	male	63	11487
Kujawsko-pomorskie	female	63	12715
Kujawsko-pomorskie	male	64	11581
Kujawsko-pomorskie	female	64	13018
Kujawsko-pomorskie	male	65	11789
Kujawsko-pomorskie	female	65	13833
Kujawsko-pomorskie	male	66	12417
Kujawsko-pomorskie	female	66	14400
Kujawsko-pomorskie	male	67	12576
Kujawsko-pomorskie	female	67	15061
Kujawsko-pomorskie	male	68	12537
Kujawsko-pomorskie	female	68	15163
Kujawsko-pomorskie	male	69	11969
Kujawsko-pomorskie	female	69	14796
Kujawsko-pomorskie	male	70	11461
Kujawsko-pomorskie	female	70	14523
Kujawsko-pomorskie	male	71	10609
Kujawsko-pomorskie	female	71	13795
Kujawsko-pomorskie	male	72	10103
Kujawsko-pomorskie	female	72	13407
Kujawsko-pomorskie	male	73	9465
Kujawsko-pomorskie	female	73	13004
Kujawsko-pomorskie	male	74	8908
Kujawsko-pomorskie	female	74	12611
Kujawsko-pomorskie	male	75	8359
Kujawsko-pomorskie	female	75	12231
Kujawsko-pomorskie	male	76	7803
Kujawsko-pomorskie	female	76	11639
Kujawsko-pomorskie	male	77	7035
Kujawsko-pomorskie	female	77	10784
Kujawsko-pomorskie	male	78	6129
Kujawsko-pomorskie	female	78	9930
Kujawsko-pomorskie	male	79	5476
Kujawsko-pomorskie	female	79	9048
Kujawsko-pomorskie	male	80	3219
Kujawsko-pomorskie	female	80	5233
Kujawsko-pomorskie	male	81	2828
Kujawsko-pomorskie	female	81	5008
Kujawsko-pomorskie	male	82	2714
Kujawsko-pomorskie	female	82	5085
Kujawsko-pomorskie	male	83	2569
Kujawsko-pomorskie	female	83	4845
Kujawsko-pomorskie	male	84	2347
Kujawsko-pomorskie	female	84	4689
Kujawsko-pomorskie	male	85	2074
Kujawsko-pomorskie	female	85	4434
Kujawsko-pomorskie	male	86	1808
Kujawsko-pomorskie	female	86	4111
Kujawsko-pomorskie	male	87	1548
Kujawsko-pomorskie	female	87	3781
Kujawsko-pomorskie	male	88	1312
Kujawsko-pomorskie	female	88	3501
Kujawsko-pomorskie	male	89	1121
Kujawsko-pomorskie	female	89	2932
Kujawsko-pomorskie	male	90	944
Kujawsko-pomorskie	female	90	2593
Kujawsko-pomorskie	male	91	729
Kujawsko-pomorskie	female	91	2101
Kujawsko-pomorskie	male	92	555
Kujawsko-pomorskie	female	92	1665
Kujawsko-pomorskie	male	93	435
Kujawsko-pomorskie	female	93	1423
Kujawsko-pomorskie	male	94	359
Kujawsko-pomorskie	female	94	1081
Kujawsko-pomorskie	male	95	234
Kujawsko-pomorskie	female	95	860
Kujawsko-pomorskie	male	96	172
Kujawsko-pomorskie	female	96	567
Kujawsko-pomorskie	male	97	119
Kujawsko-pomorskie	female	97	384
Kujawsko-pomorskie	male	98	91
Kujawsko-pomorskie	female	98	286
Kujawsko-pomorskie	male	99	50
Kujawsko-pomorskie	female	99	185
Lubelskie	male	0	5903
Lubelskie	female	0	5396
