residence_region	workplace_region	production_sector	count
Warmińsko-mazurskie	Warmińsko-mazurskie	A	1264605
Kujawsko-pomorskie	Kujawsko-pomorskie	A	1851134
Dolnośląskie	Dolnośląskie	A	2677799
Lubelskie	Lubelskie	A	1863692
Lubuskie	Lubuskie	A	908426
Łódzkie	Łódzkie	A	2186755
Małopolskie	Małopolskie	A	3119432
Mazowieckie	Mazowieckie	A	5036116
Opolskie	Opolskie	A	872283
Podkarpackie	Podkarpackie	A	1912665
Podlaskie	Podlaskie	A	1055034
Pomorskie	Pomorskie	A	2166087
Śląskie	Śląskie	A	3945929
Świętokrzyskie	Świętokrzyskie	A	1087849
Wielkopolskie	Wielkopolskie	A	3209520
Zachodniopomorskie	Zachodniopomorskie	A	1526673
