region	household_size	household_count
Dolnośląskie	1	257207
Dolnośląskie	2	285149
Dolnośląskie	3	204127
Dolnośląskie	4	156100
Dolnośląskie	5 i więcej	130670
Kujawsko-pomorskie	1	138431
Kujawsko-pomorskie	2	167743
Kujawsko-pomorskie	3	130213
Kujawsko-pomorskie	4	107318
Kujawsko-pomorskie	5 i więcej	113229
Lubelskie	1	134136
Lubelskie	2	151799
Lubelskie	3	119709
Lubelskie	4	108047
Lubelskie	5 i więcej	130102
Lubuskie	1	72693
Lubuskie	2	86703
Lubuskie	3	66849
Lubuskie	4	55692
Lubuskie	5 i więcej	50910
Mazowieckie	1	494438
Mazowieckie	2	489609
Mazowieckie	3	347282
Mazowieckie	4	301994
Mazowieckie	5 i więcej	278051
Małopolskie	1	210202
Małopolskie	2	222679
Małopolskie	3	182059
Małopolskie	4	176218
Małopolskie	5 i więcej	234634
Opolskie	1	66391
Opolskie	2	76535
Opolskie	3	60307
Opolskie	4	51282
Opolskie	5 i więcej	55382
Podkarpackie	1	101848
Podkarpackie	2	121703
Podkarpackie	3	111197
Podkarpackie	4	112755
Podkarpackie	5 i więcej	152289
Podlaskie	1	82330
Podlaskie	2	88507
Podlaskie	3	69512
Podlaskie	4	61995
Podlaskie	5 i więcej	69429
Pomorskie	1	172351
Pomorskie	2	198084
Pomorskie	3	147032
Pomorskie	4	126459
Pomorskie	5 i więcej	127676
Warmińsko-mazurskie	1	97380
Warmińsko-mazurskie	2	115136
Warmińsko-mazurskie	3	89350
Warmińsko-mazurskie	4	74375
Warmińsko-mazurskie	5 i więcej	75620
Wielkopolskie	1	215703
Wielkopolskie	2	261412
Wielkopolskie	3	212477
Wielkopolskie	4	195808
Wielkopolskie	5 i więcej	210685
Zachodniopomorskie	1	132724
Zachodniopomorskie	2	155404
Zachodniopomorskie	3	115769
Zachodniopomorskie	4	89930
Zachodniopomorskie	5 i więcej	78889
Łódzkie	1	213791
Łódzkie	2	222219
Łódzkie	3	158447
Łódzkie	4	125528
Łódzkie	5 i więcej	122780
Śląskie	1	359763
Śląskie	2	406951
Śląskie	3	298684
Śląskie	4	237641
Śląskie	5 i więcej	222140
Świętokrzyskie	1	75170
Świętokrzyskie	2	87051
Świętokrzyskie	3	69868
Świętokrzyskie	4	62369
Świętokrzyskie	5 i więcej	76338
