region	size	composition	count
Dolnośląskie	1	one_person	64026
Dolnośląskie	1	couple_with_dependent_children	155948
Dolnośląskie	1	other_multi_person	37233
Dolnośląskie	2	one_person	70982
Dolnośląskie	2	couple_with_dependent_children	172889
Dolnośląskie	2	other_multi_person	41278
Dolnośląskie	3	one_person	50813
Dolnośląskie	3	couple_with_dependent_children	123765
Dolnośląskie	3	other_multi_person	29549
Dolnośląskie	4	one_person	38858
Dolnośląskie	4	couple_with_dependent_children	94645
Dolnośląskie	4	other_multi_person	22597
Dolnośląskie	5	one_person	32528
Dolnośląskie	5	couple_with_dependent_children	79227
Dolnośląskie	5	other_multi_person	18915
Kujawsko-pomorskie	1	one_person	29171
Kujawsko-pomorskie	1	couple_with_dependent_children	87202
Kujawsko-pomorskie	1	other_multi_person	22058
Kujawsko-pomorskie	2	one_person	35347
Kujawsko-pomorskie	2	couple_with_dependent_children	105667
Kujawsko-pomorskie	2	other_multi_person	26729
Kujawsko-pomorskie	3	one_person	27439
Kujawsko-pomorskie	3	couple_with_dependent_children	82026
Kujawsko-pomorskie	3	other_multi_person	20748
Kujawsko-pomorskie	4	one_person	22614
Kujawsko-pomorskie	4	couple_with_dependent_children	67603
Kujawsko-pomorskie	4	other_multi_person	17101
Kujawsko-pomorskie	5	one_person	23860
Kujawsko-pomorskie	5	couple_with_dependent_children	71327
Kujawsko-pomorskie	5	other_multi_person	18042
Lubelskie	1	one_person	27948
Lubelskie	1	couple_with_dependent_children	83939
Lubelskie	1	other_multi_person	22249
Lubelskie	2	one_person	31628
Lubelskie	2	couple_with_dependent_children	94992
Lubelskie	2	other_multi_person	25179
Lubelskie	3	one_person	24942
Lubelskie	3	couple_with_dependent_children	74911
Lubelskie	3	other_multi_person	19856
Lubelskie	4	one_person	22512
Lubelskie	4	couple_with_dependent_children	67613
Lubelskie	4	other_multi_person	17922
Lubelskie	5	one_person	27107
Lubelskie	5	couple_with_dependent_children	81415
Lubelskie	5	other_multi_person	21580
Lubuskie	1	one_person	15876
Lubuskie	1	couple_with_dependent_children	46194
Lubuskie	1	other_multi_person	10623
Lubuskie	2	one_person	18936
Lubuskie	2	couple_with_dependent_children	55097
Lubuskie	2	other_multi_person	12670
Lubuskie	3	one_person	14600
Lubuskie	3	couple_with_dependent_children	42480
Lubuskie	3	other_multi_person	9769
Lubuskie	4	one_person	12163
Lubuskie	4	couple_with_dependent_children	35390
Lubuskie	4	other_multi_person	8139
Lubuskie	5	one_person	11119
Lubuskie	5	couple_with_dependent_children	32351
Lubuskie	5	other_multi_person	7440
Mazowieckie	1	one_person	127902
Mazowieckie	1	couple_with_dependent_children	293735
Mazowieckie	1	other_multi_person	72801
Mazowieckie	2	one_person	126653
Mazowieckie	2	couple_with_dependent_children	290866
Mazowieckie	2	other_multi_person	72090
Mazowieckie	3	one_person	89836
Mazowieckie	3	couple_with_dependent_children	206312
